Feature,RF_selfreq,Univ_selfreq,PLS_selfreq,mean_freq
106.02,0.0,0.0,0.0,0.0
105.14,0.0,0.0,0.0,0.0
121.1,0.0,0.0,0.0,0.0
104.11,0.0,0.0,0.0,0.0
103.98,0.0,0.0,1.0,0.0
103.0,0.0,0.0,0.0,0.0
102.07,0.0,0.0,0.0,0.0
100.91,0.0,0.0,0.0,0.0
100.11,0.0,0.0,0.0,0.0
99.08,0.0,0.0,0.0,0.0
98.95,0.0,0.0,0.0,0.0
105.06,0.0,0.0,0.0,0.0
120.96,0.0,0.0,0.0,0.0
120.57,0.0,0.0,0.0,0.0
119.92,0.0,0.0,1.0,0.0
119.53,0.0,0.0,0.0,0.0
118.4,0.0,0.0,0.0,0.0
117.38,0.0,0.0,0.0,0.0
117.07,0.0,0.0,0.0,0.0
116.99,0.0,0.0,0.0,0.0
110.33,0.0,0.0,0.0,0.0
116.04,0.0,0.0,0.0,0.0
115.05,0.0,0.0,0.0,0.0
114.9,0.0,0.0,0.0,0.0
114.21,0.0,0.0,0.0,0.0
113.09,0.0,0.0,0.0,0.0
112.89,0.0,0.0,1.0,0.0
112.24,0.0,0.0,0.0,0.0
112.09,0.0,0.0,0.0,0.0
111.02,0.0,0.0,0.0,0.0
116.3,0.0,0.0,0.0,0.0
