Feature,RF_freq,Univ_freq,PLS_freq,detect_rate
120.96,0.0,0.0,0.0,0.823
105.06,0.0,0.0,0.0,0.927
104.11,0.0,0.0,0.0,0.948
103.98,0.0,0.0,1.0,0.964
103.0,0.0,0.0,0.0,0.938
102.07,0.0,0.0,0.0,0.969
100.91,0.0,0.0,0.0,0.0
100.11,0.0,0.0,0.0,0.818
99.08,0.0,0.0,0.0,0.203
105.14,0.0,0.0,0.0,0.0
120.57,0.0,0.0,0.0,0.0
120.08,0.0,0.0,0.0,0.557
119.92,0.0,0.0,1.0,0.844
119.53,0.0,0.0,0.0,0.0
118.4,0.0,0.0,0.0,0.0
117.38,0.0,0.0,0.0,0.0
117.07,0.0,0.0,0.0,0.526
116.99,0.0,0.0,0.0,0.573
110.33,0.0,0.0,0.0,0.0
116.04,0.0,0.0,0.0,0.938
115.05,0.0,0.0,0.0,0.938
114.9,0.0,0.0,0.0,0.807
114.21,0.0,0.0,0.0,0.005
113.09,0.0,0.0,0.0,0.031
112.89,0.0,0.0,1.0,0.948
112.24,0.0,0.0,0.0,0.0
112.09,0.0,0.0,0.0,0.38
111.02,0.0,0.0,0.0,0.208
116.3,0.0,0.0,0.0,0.0
