Tissue,training_representation,held_out_animal,min_det,features_retained
Fur,spot,Co_9b,0.0,313
Fur,spot,Co_9b,0.1,106
Fur,spot,Co_9b,0.2,73
Fur,spot,Co_9b,0.3,41
Fur,animal-mean,Ca_10b,0.0,313
Fur,animal-mean,Ca_10b,0.1,156
Fur,animal-mean,Ca_10b,0.2,110
Fur,animal-mean,Ca_10b,0.3,90
Fur,animal-mean,Ca_1b,0.0,313
Fur,animal-mean,Ca_1b,0.1,157
Fur,animal-mean,Ca_1b,0.2,112
Fur,animal-mean,Ca_1b,0.3,90
Fur,animal-mean,Ca_2b,0.0,313
Fur,animal-mean,Ca_2b,0.1,154
Fur,animal-mean,Ca_2b,0.2,110
Fur,animal-mean,Ca_2b,0.3,87
Fur,animal-mean,Ca_3b,0.0,313
Fur,animal-mean,Ca_3b,0.1,156
Fur,animal-mean,Ca_3b,0.2,112
Fur,animal-mean,Ca_3b,0.3,90
Fur,animal-mean,Ca_4b,0.0,313
Fur,animal-mean,Ca_4b,0.1,150
Fur,animal-mean,Ca_4b,0.2,108
Fur,animal-mean,Ca_4b,0.3,86
Fur,animal-mean,Ca_5b,0.0,313
Fur,animal-mean,Ca_5b,0.1,156
Fur,animal-mean,Ca_5b,0.2,112
Fur,animal-mean,Ca_5b,0.3,91
Fur,animal-mean,Ca_6b,0.0,313
Fur,animal-mean,Ca_6b,0.1,151
Fur,animal-mean,Ca_6b,0.2,108
Fur,animal-mean,Ca_6b,0.3,89
Fur,animal-mean,Ca_7b,0.0,313
Fur,animal-mean,Ca_7b,0.1,145
Fur,animal-mean,Ca_7b,0.2,109
Fur,animal-mean,Ca_7b,0.3,85
Fur,animal-mean,Ca_8b,0.0,313
Fur,animal-mean,Ca_8b,0.1,157
Fur,animal-mean,Ca_8b,0.2,109
Fur,animal-mean,Ca_8b,0.3,90
Fur,animal-mean,Ca_9b,0.0,313
Fur,animal-mean,Ca_9b,0.1,157
Fur,animal-mean,Ca_9b,0.2,110
Fur,animal-mean,Ca_9b,0.3,87
Fur,animal-mean,Co_10b,0.0,313
Fur,animal-mean,Co_10b,0.1,156
Fur,animal-mean,Co_10b,0.2,111
Fur,animal-mean,Co_10b,0.3,87
Fur,animal-mean,Co_1b,0.0,313
Fur,animal-mean,Co_1b,0.1,156
Fur,animal-mean,Co_1b,0.2,112
Fur,animal-mean,Co_1b,0.3,91
Fur,animal-mean,Co_2b,0.0,313
Fur,animal-mean,Co_2b,0.1,157
Fur,animal-mean,Co_2b,0.2,112
Fur,animal-mean,Co_2b,0.3,91
Fur,animal-mean,Co_3b,0.0,313
Fur,animal-mean,Co_3b,0.1,157
Fur,animal-mean,Co_3b,0.2,111
Fur,animal-mean,Co_3b,0.3,91
Fur,animal-mean,Co_4b,0.0,313
Fur,animal-mean,Co_4b,0.1,154
Fur,animal-mean,Co_4b,0.2,110
Fur,animal-mean,Co_4b,0.3,91
Fur,animal-mean,Co_5b,0.0,313
Fur,animal-mean,Co_5b,0.1,152
Fur,animal-mean,Co_5b,0.2,112
Fur,animal-mean,Co_5b,0.3,90
Fur,animal-mean,Co_6b,0.0,313
Fur,animal-mean,Co_6b,0.1,151
Fur,animal-mean,Co_6b,0.2,112
Fur,animal-mean,Co_6b,0.3,91
Fur,animal-mean,Co_7b,0.0,313
Fur,animal-mean,Co_7b,0.1,155
