Tissue,Feature,n_cancer_animals,n_control_animals,cancer_mean,control_mean,log2_fc_plus1_cancer_control,rank_biserial_cancer_control,p_mwu,FDR_BH,cancer_detection_frequency,control_detection_frequency,absolute_detection_frequency_difference,FDR_significant,detection_difference_gt_0_30
Liver,131.08,6,4,0.20914255875357093,0.2397119892700253,-0.036020642279597406,-0.5,0.2571428571428571,1.0,1.0,1.0,0.0,False,False
Liver,132.08,6,4,0.07784937294475232,0.08060168283394553,-0.0036792550561592597,-0.08333333333333337,0.9142857142857143,1.0,1.0,1.0,0.0,False,False
Liver,132.91,6,4,0.024452783666424515,0.041747469250240435,-0.02415210221442595,-0.41666666666666663,0.35238095238095235,1.0,0.6666666666666666,0.75,0.08333333333333337,False,False
Liver,133.1,6,4,0.15668589290077048,0.19473274850983274,-0.04669079325197369,-0.5833333333333333,0.17142857142857143,1.0,1.0,1.0,0.0,False,False
Liver,133.73,6,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Liver,134.1,6,4,0.0,0.024949169589724048,-0.03555236378028105,-0.5,0.2571428571428571,1.0,0.0,0.5,0.5,False,True
Liver,134.78,6,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Liver,135.08,6,4,0.014032055817940028,0.08449471547234798,-0.09691976318614746,-0.625,0.17142857142857143,1.0,0.5,0.75,0.25,False,False
Liver,135.92,6,4,0.015782766478994435,0.005805337559627856,0.014240788290499904,0.29166666666666674,0.6095238095238095,1.0,0.5,0.25,0.25,False,False
Liver,136.92,6,4,0.051050456173471516,0.042591863016696666,0.011657422746087477,0.04166666666666674,1.0,1.0,0.8333333333333334,0.75,0.08333333333333337,False,False
Liver,137.14,6,4,0.0,0.007775756432537213,-0.011174655630216173,-0.5,0.2571428571428571,1.0,0.0,0.5,0.5,False,True
Liver,138.9,6,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Liver,139.04,6,4,0.06951180671291972,0.07021571463766949,-0.000949209185543321,0.0,1.0,1.0,1.0,1.0,0.0,False,False
Liver,140.9,6,4,0.5493708500302402,0.4214575380348677,0.12431149879265838,0.33333333333333326,0.47619047619047616,1.0,1.0,1.0,0.0,False,False
Liver,141.06,6,4,0.20744552495290625,0.22392237489370315,-0.0195539585796489,-0.5,0.2571428571428571,1.0,1.0,1.0,0.0,False,False
Liver,142.04,6,4,0.09766869448391687,0.1060201826707241,-0.01093503570226186,-0.5833333333333333,0.17142857142857143,1.0,1.0,1.0,0.0,False,False
Liver,142.93,6,4,0.0,0.011149469282173186,-0.015996273851608407,-0.25,0.6095238095238095,1.0,0.0,0.25,0.25,False,False
Liver,143.08,6,4,0.14754234714659528,0.16858575874370646,-0.02621621911524735,-0.5833333333333333,0.17142857142857143,1.0,1.0,1.0,0.0,False,False
Liver,144.08,6,4,0.05888035179510015,0.07616163898950759,-0.02335520512288274,-0.5,0.2571428571428571,1.0,1.0,1.0,0.0,False,False
Liver,145.09,6,4,0.19006497873272518,0.20217656515984206,-0.014608453747466667,-0.33333333333333337,0.47619047619047616,1.0,1.0,1.0,0.0,False,False
Liver,145.13,6,4,0.0,0.034698129110093345,-0.049209926025205096,-0.5,0.2571428571428571,1.0,0.0,0.5,0.5,False,True
Liver,145.95,6,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Liver,146.11,6,4,0.0,0.03155621041691379,-0.04482243710440947,-0.5,0.2571428571428571,1.0,0.0,0.5,0.5,False,True
Liver,147.04,6,4,0.0,0.031217010532096162,-0.04434796711310122,-0.5,0.2571428571428571,1.0,0.0,0.5,0.5,False,True
Liver,147.15,6,4,0.0,0.07092781428939178,-0.09886123874692276,-0.5,0.2571428571428571,1.0,0.0,0.5,0.5,False,True
Liver,147.99,6,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Liver,148.93,6,4,0.001992447670974246,0.0,0.00287163453242812,0.16666666666666674,0.7619047619047619,1.0,0.16666666666666666,0.0,0.16666666666666666,False,False
Liver,149.14,6,4,0.0,0.04145614158470201,-0.05860208503333092,-0.5,0.2571428571428571,1.0,0.0,0.5,0.5,False,True
Liver,150.04,6,4,0.1725772636126902,0.17557425906375962,-0.0036826863861738916,0.0,1.0,1.0,1.0,1.0,0.0,False,False
